"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008202","steroid metabolic process","73/1189","335/18805",0.217910447761194,3.44643058885555,11.7377336895192,4.10345765178873e-21,2.33486740386779e-17,1.67291489319766e-17,"1576/1559/1555/1558/1571/7364/8647/3638/1066/1548/8630/1577/1582/2638/3949/3290/8542/9563/2494/2099/6342/5444/3294/570/25987/341/19/7365/25976/64816/133/114883/11001/51422/1646/6095/6715/7363/6822/5467/54206/1718/37/8856/351/2230/1645/10998/949/10449/27329/847/3931/116519/866/2908/9420/6720/476/5629/5641/10613/9971/3158/4864/5007/10162/427/5562/4790/4204/3490/2260",73
"GO:0044282","small molecule catabolic process","76/1189","370/18805",0.205405405405405,3.24865319482645,11.3491717686509,2.59989635899484e-20,7.39670514134033e-17,5.29968347283528e-17,"1576/3242/10993/229/5105/3034/2805/8647/4143/6999/6898/8630/11057/189/2710/9615/84879/3081/83752/6342/5444/8942/84532/38/5095/7498/51084/51733/440503/11001/6470/10247/7378/1806/51181/6822/127/54363/130013/1579/5467/4051/55268/37/5230/8564/9663/383/10840/151531/10841/949/10449/32/2108/5373/1666/217/23576/1036/3030/5236/1892/56267/5446/493/64080/7263/1374/5465/23786/23498/6652/3032/3607/8660",76
"GO:0044248","cellular catabolic process","68/1189","323/18805",0.210526315789474,3.32964454871409,10.9718241530359,6.80610544150543e-19,1.2908913320722e-15,9.24913907893001e-16,"3242/10993/57817/5105/3034/2805/8647/4143/6999/6898/11057/189/8876/5581/84879/3081/83752/6342/5444/8942/8801/38/302/5095/51084/440503/11001/6470/10247/51181/23327/6822/54363/130013/1579/5467/4051/55268/37/8564/2990/9663/383/10840/10841/10449/32/2108/83891/1666/23576/1036/3030/1892/56267/5446/5641/493/51752/5770/7263/1374/5465/23498/6652/57154/3032/8660",68
"GO:0006631","fatty acid metabolic process","78/1189","413/18805",0.188861985472155,2.98700558183673,10.6077196076973,1.54567478014275e-18,2.19872237475306e-15,1.57536800618233e-15,"1576/1559/1555/5105/1558/1571/8647/2180/3638/1066/10891/1548/718/11057/11343/345/1549/22949/84879/83752/6342/7132/570/341/84532/38/3248/2938/5095/51084/440503/11001/51422/1646/9388/51099/50640/127/54363/1579/5467/4051/7494/137964/348158/55268/37/5230/28965/123876/51703/9663/1645/9926/10998/10449/32/8824/27329/2181/2108/116519/2052/1666/5166/3030/6720/1892/51085/10613/5163/1374/427/972/5465/5562/3032/8660",78
"GO:0016054","organic acid catabolic process","56/1189","242/18805",0.231404958677686,3.65985723123119,10.8194285878994,9.89702288399763e-18,9.38567670165775e-15,6.72476660170576e-15,"3242/10993/5105/3034/2805/8647/4143/6999/6898/11057/189/84879/3081/83752/6342/5444/8942/38/5095/51084/440503/11001/6470/10247/51181/6822/54363/130013/1579/5467/4051/55268/37/8564/9663/383/10840/10841/10449/32/2108/1666/23576/1036/3030/1892/56267/5446/493/7263/1374/5465/23498/6652/3032/8660",56
"GO:0046395","carboxylic acid catabolic process","56/1189","242/18805",0.231404958677686,3.65985723123119,10.8194285878994,9.89702288399763e-18,9.38567670165775e-15,6.72476660170576e-15,"3242/10993/5105/3034/2805/8647/4143/6999/6898/11057/189/84879/3081/83752/6342/5444/8942/38/5095/51084/440503/11001/6470/10247/51181/6822/54363/130013/1579/5467/4051/55268/37/8564/9663/383/10840/10841/10449/32/2108/1666/23576/1036/3030/1892/56267/5446/493/7263/1374/5465/23498/6652/3032/8660",56
"GO:0016053","organic acid biosynthetic process","67/1189","337/18805",0.198813056379822,3.14438984459424,10.319797063591,2.843764159809e-17,2.31157400990189e-14,1.65622535202109e-14,"1576/1559/10993/1558/1571/2805/8647/3638/1066/11057/11343/345/189/1582/216/8854/2628/445/6342/8942/570/341/84532/7360/81539/51733/435/5352/114883/11001/6470/51422/1806/441024/9388/50640/54363/130013/1579/2328/7358/7494/54206/348158/37/4522/123876/8564/9926/10998/32/116519/10020/2593/25902/5166/1036/9420/5629/51085/493/10613/9971/5007/972/5562/23498",67
"GO:0046394","carboxylic acid biosynthetic process","66/1189","334/18805",0.197604790419162,3.12528013779002,10.1813791449103,6.82048587855278e-17,4.85107058112066e-14,3.47575550100459e-14,"1576/1559/10993/1558/1571/2805/8647/3638/1066/11057/11343/345/189/1582/216/8854/2628/445/6342/8942/570/341/84532/7360/81539/51733/435/5352/114883/11001/6470/51422/1806/441024/9388/50640/54363/130013/1579/7358/7494/54206/348158/37/4522/123876/8564/9926/10998/32/116519/10020/2593/25902/5166/1036/9420/5629/51085/493/10613/9971/5007/972/5562/23498",66
"GO:0010876","lipid localization","81/1189","482/18805",0.16804979253112,2.65784385916545,9.57924433938648,4.21764726712071e-16,2.66649032776854e-13,1.91052021819398e-13,"1401/5320/8647/2180/3929/1066/8714/718/5244/345/123/3949/200931/5359/84879/8542/5243/6580/7057/6342/5444/25987/4792/23460/341/19/5305/81671/1191/302/366/4067/440503/114883/57605/114885/11001/9388/51099/50640/5950/1579/5467/23200/26207/23760/80820/23673/10864/80830/28965/81537/51703/5306/5771/23130/1645/10998/949/32/6256/2181/57088/3931/116519/55852/1408/350/55187/118987/1374/11309/55207/4864/5007/10162/5465/4790/185/1244/8660",81
"GO:0009410","response to xenobiotic stimulus","77/1189","453/18805",0.169977924944812,2.68833883817258,9.44994779864196,1.21606158160093e-15,6.91939039930929e-13,4.95769105846358e-13,"1576/4837/1559/1555/1558/1571/7364/6505/2203/8647/2180/148/1548/8714/1577/316/123/1549/5243/5447/6580/445/7057/2730/2355/1503/19/13/2938/1956/4067/545/1026/6095/1848/6715/2022/6822/4609/54206/348158/64332/143/8856/10864/22941/6760/2627/4535/9446/2822/1645/2309/2729/10628/32/1361/8824/4129/847/2052/217/3030/6720/476/5446/4862/4519/3158/1374/11309/4864/7372/4193/3297/5562/1244",77
