"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","86/1850","169/18805",0.50887573964497,5.17265312649928,17.9987097304138,5.26857737688922e-42,2.98622965722081e-38,2.64260749482917e-38,"6228/6201/9045/10642/6138/6168/6171/6125/6223/6165/6194/6188/6135/6191/6206/6233/6175/6128/6229/6202/6143/6129/6122/6147/6187/6235/4736/10399/6208/6189/6157/6156/6160/6209/6222/6230/23521/6169/6130/6137/6124/6141/6167/6176/6232/6132/6159/9349/3921/6155/6203/6161/26986/6164/3192/1936/6193/6224/6210/6152/25873/5315/6136/6207/6217/6158/3646/8894/55854/1975/8562/6144/6227/1660/1974/6181/4904/7458/54505/85451/208/6234/2197/51386/8667/7812",86
"GO:0006403","RNA localization","69/1850","206/18805",0.33495145631068,3.40473628968775,11.4635296529388,9.03350821213483e-21,2.56009622731901e-17,2.26550877004329e-17,"23089/10644/10642/57510/8087/8658/7514/636/6741/9804/5901/7203/6311/3192/11052/3181/7175/10576/472/10575/23369/6950/27067/65125/10574/23293/6432/9984/65110/3178/7528/6428/22948/24148/167227/3837/10128/5903/6780/26019/1660/25909/23279/10694/22794/55746/9793/4904/7979/8939/8888/91746/64901/129401/6396/4076/55677/56943/55421/5073/23225/55795/29072/51602/57187/908/155435/57122/8021",69
"GO:0008380","RNA splicing","110/1850","482/18805",0.228215767634855,2.3197824380397,9.695934249065,1.69013075039925e-17,3.19322036442098e-14,2.82578000900085e-14,"55796/8464/9584/220988/23451/3312/27332/3303/26986/9541/23517/58155/3192/9360/51755/3181/6936/4691/23020/27316/10283/56259/10713/389677/51747/25766/143884/1195/6207/29896/1653/2521/22889/23398/9991/55660/54496/6432/6430/6628/9984/65110/3187/51319/9406/3609/3189/92906/3178/22927/6428/24148/23326/51329/55578/10521/25962/9129/283375/9879/10772/55596/79066/1660/57035/10250/22794/10236/57703/23450/10594/22985/8148/5978/6651/4904/6427/151987/4841/1859/55082/1153/8227/6634/11100/10147/140890/23543/91746/8295/81669/55677/56943/10199/22913/285672/8621/10625/26528/10921/3190/4670/10181/11171/284695/57187/23524/9169/6433/6732",110
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","103/1850","467/18805",0.220556745182013,2.2419295098096,8.97721220170604,2.10978701967418e-15,2.98956820687831e-12,2.64556188124933e-12,"6135/3326/23532/10399/55626/131405/7514/151230/3303/165324/90025/28951/339745/84961/5071/1457/84937/10277/130507/26235/22836/80204/10213/51366/26043/5710/26133/79718/23588/8924/11146/64326/79791/54994/51433/5693/83737/7341/1499/5689/64682/10513/4780/6478/5688/23194/2768/51322/23008/6907/9491/3093/23376/7328/7320/11011/5713/119504/26263/9575/81545/153830/8554/8405/8945/8473/7979/80196/6468/9655/9097/8452/64750/324/2932/54813/55122/54800/5094/996/9867/11315/10444/57092/10625/80232/51434/7415/10075/64839/9320/8667/150684/1642/7874/9683/23304/11060/5682/26259/197131/5706/51105",103
"GO:0022613","ribonucleoprotein complex biogenesis","106/1850","494/18805",0.214574898785425,2.1811248495459,8.78750000398306,5.79649573725394e-15,6.57090756775107e-12,5.81480046063475e-12,"6228/6201/9045/3320/6125/6223/6165/6194/6135/3326/6191/6206/6233/6175/6229/6202/6129/6208/6189/23451/6209/6230/23521/7514/6169/6130/10728/4869/6232/5901/51106/3921/10412/6155/6203/23517/58155/6193/51575/6210/6152/6936/23020/472/10713/51747/6207/7520/64282/6217/1653/22889/196074/3646/54496/6430/6628/8894/1964/8886/1975/8562/130916/24148/6227/9669/10521/9129/55759/9879/10772/79066/1660/55636/57035/29102/10528/84128/23450/11137/10594/5591/7458/2752/6634/8575/103/54505/285855/91746/51018/6234/2197/4931/10199/10181/51602/51386/11171/9169/192669/6433/8667/55127/27340/6732",106
"GO:0006417","regulation of translation","95/1850","451/18805",0.210643015521064,2.14115778749925,8.10271743315374,4.9030366778521e-13,4.63173531501095e-10,4.09876662630969e-10,"10644/10642/6125/6188/6191/10399/6208/8087/23521/131405/3673/6169/6741/6197/8518/1611/4869/124540/23112/1938/6311/1719/3315/8507/1457/6203/26986/79828/3192/4691/5315/7175/55037/9698/55005/5813/23369/1653/27327/23367/3646/57472/26135/6726/65110/2597/23019/6659/3609/1975/22927/10209/8440/9669/10128/23173/5610/1660/22794/1974/4848/51123/1656/26610/27230/4904/8473/5591/7458/1153/1982/127933/57690/54505/85451/51247/208/4076/440275/26058/55140/55250/1994/253943/26065/9811/55095/3658/192669/8667/23/7812/25904/10767/23107",95
"GO:0006913","nucleocytoplasmic transport","78/1850","340/18805",0.229411764705882,2.33193958664547,8.18674791234889,6.72978813892421e-13,4.7680548964278e-10,4.21940006341761e-10,"3320/57510/6209/7514/5784/1386/6741/4869/3841/5901/9349/11052/5501/3181/7175/51366/4775/1434/8125/2033/55705/11142/65125/23293/23039/9984/51319/3178/5469/6428/7341/3837/11331/4659/5903/10541/26019/1660/7329/25909/23279/22794/55746/7531/26263/8720/10892/7979/8888/999/57506/127933/103/754/91746/64901/129401/6396/2932/51496/55122/55677/56943/55198/55421/4000/11315/23225/1994/55795/4763/3842/23325/29072/57187/155435/57122/8021",78
"GO:0051169","nuclear transport","78/1850","340/18805",0.229411764705882,2.33193958664547,8.18674791234889,6.72978813892421e-13,4.7680548964278e-10,4.21940006341761e-10,"3320/57510/6209/7514/5784/1386/6741/4869/3841/5901/9349/11052/5501/3181/7175/51366/4775/1434/8125/2033/55705/11142/65125/23293/23039/9984/51319/3178/5469/6428/7341/3837/11331/4659/5903/10541/26019/1660/7329/25909/23279/22794/55746/7531/26263/8720/10892/7979/8888/999/57506/127933/103/754/91746/64901/129401/6396/2932/51496/55122/55677/56943/55198/55421/4000/11315/23225/1994/55795/4763/3842/23325/29072/57187/155435/57122/8021",78
"GO:0051236","establishment of RNA localization","49/1850","168/18805",0.291666666666667,2.96475225225225,8.44960723381362,1.46027968464966e-12,8.52186453742495e-10,7.54126295747686e-10,"23089/10644/10642/57510/8087/8658/7514/6741/9804/5901/6311/11052/3181/7175/472/65125/23293/6432/9984/65110/3178/6428/3837/10128/5903/26019/1660/25909/23279/22794/55746/9793/4904/7979/8888/91746/64901/129401/6396/55677/56943/55421/23225/55795/29072/57187/155435/57122/8021",49
"GO:0033044","regulation of chromosome organization","62/1850","244/18805",0.254098360655738,2.58287549844927,8.22059159822394,1.50350468197335e-12,8.52186453742495e-10,7.54126295747686e-10,"3320/1063/8658/196528/10728/140609/7203/546/4216/5885/3192/8289/3181/57492/7175/10576/472/10575/6601/7520/64282/6950/10051/10574/23293/29117/51433/3178/7528/22948/1499/64682/167227/26054/7756/55869/10694/8379/55755/201161/56252/79648/9031/79677/51112/8452/10664/324/55719/5925/6597/4931/4926/4000/8467/996/5073/55795/51434/5594/908/7874",62
