"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008202","steroid metabolic process","72/1129","335/18805",0.214925373134328,3.57986859326045,12.0411131404039,9.18944617263083e-22,5.14792774590779e-18,3.62160910213998e-18,"1576/1555/1559/1571/1558/8647/1577/1548/3638/8630/1582/54206/570/9563/8542/3290/341/351/3949/2638/25976/133/2099/6342/3294/5444/1066/64816/25987/7364/11001/2494/6715/19/6095/5467/1718/7365/114883/3953/51422/37/476/2230/2908/158219/8856/6822/2330/116519/10449/10613/949/1645/10998/7363/866/6720/27329/5562/847/3490/3931/51478/348/335/3158/3480/59338/4790/9420/5007",72
"GO:0044282","small molecule catabolic process","73/1129","370/18805",0.197297297297297,3.28624949129821,11.2249136474876,8.84443541795156e-20,2.47732636056823e-16,1.7428192739374e-16,"1576/10993/5105/229/3242/3034/4143/8647/189/2805/6898/9615/6999/8630/11057/2710/84879/3081/51733/6342/440503/83752/5444/84532/7498/8942/1579/7378/11001/5095/127/51181/10840/151531/38/130013/383/5230/51084/9663/5467/8564/6470/4051/8660/10247/1036/144193/55268/37/1806/2023/6822/217/10157/5446/10449/949/23175/84706/54363/32/5236/7263/1374/3030/23576/1892/1666/348/10841/5373/2108",73
"GO:0010876","lipid localization","83/1129","482/18805",0.172199170124481,2.86820672647553,10.5009902565937,1.81006644636393e-18,3.37999741084358e-15,2.37785571059177e-15,"1401/2180/5320/8647/4792/718/8542/84879/341/345/5244/3949/5243/123/3929/6580/8714/6342/7057/5359/440503/366/200931/23460/5444/1066/25987/1579/1191/5950/11001/9388/302/26207/50640/114885/81671/80820/51099/19/5467/4067/5305/23673/57088/114883/23130/8660/23200/57605/51703/2181/28965/23760/80830/5306/81537/1408/158219/116519/10599/350/949/23230/32/1645/10998/5771/1374/6256/3931/1407/3685/950/185/348/118987/335/55852/55187/5660/4790/5007",83
"GO:0044248","cellular catabolic process","65/1129","323/18805",0.201238390092879,3.35189364543542,10.7751804682751,3.3802033847556e-18,4.73397484035022e-15,3.33038986119078e-15,"57817/10993/5105/3242/3034/4143/8647/189/2805/6898/6999/11057/8876/84879/3081/6342/440503/83752/5444/8942/1579/11001/5095/302/51181/10840/38/130013/5581/383/51084/9663/5467/8564/6470/4051/8660/10247/1036/23327/83891/8801/144193/55268/37/2990/6822/10157/5446/51752/10449/23175/84706/54363/32/7263/1374/3030/23576/1892/1666/348/10841/5770/2108",65
"GO:0006631","fatty acid metabolic process","74/1129","413/18805",0.179176755447942,2.98442771142475,10.3056627350552,1.45156658297305e-17,1.55331034411095e-14,1.09276647970676e-14,"1576/5105/1555/1559/10891/1571/1558/2180/8647/1548/3638/11343/11057/718/570/1549/84879/341/345/6342/440503/83752/3248/84532/5166/1066/7132/1579/11001/9388/5095/127/50640/38/5230/51099/51084/9663/5467/4051/123876/8660/348158/51703/2181/28965/5163/51422/2938/55268/37/137964/116519/10449/10613/23175/9926/7494/8824/54363/22949/32/1645/10998/6720/27329/1374/5562/3030/1892/1666/8864/972/2108",74
"GO:0009410","response to xenobiotic stimulus","78/1129","453/18805",0.172185430463576,2.86797787410766,10.1708962509934,2.03465670363394e-17,1.55331034411095e-14,1.09276647970676e-14,"4837/1576/1555/1559/1571/1558/2180/8647/6505/2203/1577/1548/148/54206/1549/5447/3485/2355/5243/123/6580/8714/7057/1848/1503/445/2730/316/7364/10628/6715/1026/1956/19/6095/4067/545/143/2309/348158/2822/1361/4609/6760/2938/4519/476/8856/6822/2627/2330/2022/22941/13/217/5446/64332/10599/9446/6772/8824/7037/32/4535/1645/6720/1374/5562/847/3030/3339/2729/1429/55031/3158/4193/6647/4646",78
"GO:0016054","organic acid catabolic process","54/1129","242/18805",0.223140495867769,3.71670241345739,10.7499331862438,2.2182225549603e-17,1.55331034411095e-14,1.09276647970676e-14,"10993/5105/3242/3034/4143/8647/189/2805/6898/6999/11057/84879/3081/6342/440503/83752/5444/8942/1579/11001/5095/51181/10840/38/130013/383/51084/9663/5467/8564/6470/4051/8660/10247/1036/144193/55268/37/6822/10157/5446/10449/23175/84706/54363/32/7263/1374/3030/23576/1892/1666/10841/2108",54
"GO:0046395","carboxylic acid catabolic process","54/1129","242/18805",0.223140495867769,3.71670241345739,10.7499331862438,2.2182225549603e-17,1.55331034411095e-14,1.09276647970676e-14,"10993/5105/3242/3034/4143/8647/189/2805/6898/6999/11057/84879/3081/6342/440503/83752/5444/8942/1579/11001/5095/51181/10840/38/130013/383/51084/9663/5467/8564/6470/4051/8660/10247/1036/144193/55268/37/6822/10157/5446/10449/23175/84706/54363/32/7263/1374/3030/23576/1892/1666/10841/2108",54
"GO:0042060","wound healing","77/1129","450/18805",0.171111111111111,2.85008365318374,10.0392327743207,4.74736606310887e-17,2.95497163172621e-14,2.0788466128982e-14,"6288/5054/710/325/3084/3273/51129/3479/6385/3083/462/2158/2243/2266/2244/3572/9060/3570/5340/5873/2683/7035/7057/5359/2131/23499/3827/2153/5627/25987/725/2161/7076/302/3693/51330/1026/4921/3688/5581/8613/5467/2147/4067/4853/11234/1361/5265/5530/7422/2160/51156/160851/9076/667/7006/5624/2022/50848/3162/350/949/3091/7494/3717/7414/4627/1398/10672/3685/8837/128866/348/10979/8761/308/60",77
"GO:0006869","lipid transport","77/1129","460/18805",0.167391304347826,2.78812531289714,9.81291653051027,1.69489366892616e-16,9.49479433332434e-14,6.67966515416793e-14,"2180/5320/8647/4792/8542/84879/341/345/5244/3949/5243/123/3929/6580/8714/6342/7057/5359/366/200931/23460/5444/1066/25987/1579/1191/5950/11001/9388/302/26207/50640/114885/81671/80820/19/5467/4067/5305/23673/57088/114883/23130/8660/23200/57605/51703/2181/28965/23760/80830/5306/81537/1408/158219/116519/10599/350/949/23230/1645/10998/1374/6256/3931/1407/3685/950/185/348/118987/335/55852/55187/5660/4790/5007",77
