"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","88/2347","169/18805",0.520710059171598,4.17211447069531,15.642601786079,9.16740536754177e-36,5.39685153987184e-32,4.70625641868434e-32,"10642/6228/6201/6188/9045/6223/6168/6125/6171/6191/6138/6129/6235/6175/6194/6233/6229/6156/6122/6189/6187/6165/6206/3921/6143/6128/1936/6130/6208/6147/6202/6160/6157/4736/6135/6209/6124/6141/6176/6159/10399/23521/6132/6193/6222/200916/6224/6169/5315/9349/6155/6167/6137/6203/6164/8894/6152/6232/6230/8562/3192/26986/1975/3646/6161/85451/6210/4733/6227/6144/6136/6207/1660/6217/8667/7458/1974/2197/6181/9147/51386/10492/4904/1968/6234/3184/208/55854",88
"GO:0006403","RNA localization","84/2347","206/18805",0.407766990291262,3.2671743725723,12.3556863120476,9.79764837422447e-25,2.88393779895297e-21,2.51490163795225e-21,"23089/10644/10642/10643/57510/6311/27067/8658/636/23293/7514/8087/65110/5901/9804/7203/3181/6741/84321/11052/3837/9793/57097/24148/9984/7175/3192/10128/55051/6432/26019/65109/6780/7979/6396/23369/7528/23279/23225/10576/4076/6428/65125/10574/55746/472/5073/25909/29072/8106/8939/56943/8021/8888/10575/10694/23165/64901/9631/57122/1660/23049/3178/9688/4927/22948/23144/55421/55795/22794/1977/908/53371/4904/155435/26993/57187/9972/7048/8607/54680/51602/5903/91746",84
"GO:0008380","RNA splicing","133/2347","482/18805",0.275933609958506,2.21087837037482,10.1699516206207,1.36421177846093e-19,2.67703824659983e-16,2.3344774889663e-16,"55796/8464/9584/4691/58155/51319/51755/25766/65110/220988/2521/27316/6628/389677/9991/51747/10713/3181/10283/283375/27332/6936/56259/84321/79066/3312/6629/3609/24148/23517/22913/9984/6430/3192/9406/54496/26986/8621/6733/23543/8148/55051/55660/9360/6432/25962/23020/65109/10147/22889/9541/3187/6732/23451/55285/51329/6634/708/29896/1653/9879/6428/10521/143884/55147/92906/55082/23450/6632/8295/10180/6651/9129/56943/55578/4841/23076/284695/10236/151987/3189/988/23326/10772/6207/5978/94104/10594/55596/1660/10921/10250/10658/6427/22985/11100/5411/10992/80746/1859/1659/3178/96764/1153/3190/339487/54517/22794/22927/11325/10492/55131/4904/26528/4670/9716/26993/23759/57187/10907/79706/1195/1207/6431/10181/6433/10199/55119/11129/140890/58517/6434/91746",133
"GO:0051236","establishment of RNA localization","64/2347","168/18805",0.380952380952381,3.05232617120133,10.0903483250665,2.1883092447989e-17,3.22064413103278e-14,2.80852215444322e-14,"23089/10644/10642/10643/57510/6311/8658/23293/7514/8087/65110/5901/9804/3181/6741/84321/11052/3837/9793/57097/9984/7175/10128/55051/6432/26019/65109/7979/6396/23279/23225/6428/65125/55746/472/25909/29072/8106/56943/8021/8888/23165/64901/9631/57122/1660/23049/3178/9688/4927/23144/55421/55795/22794/1977/53371/4904/155435/26993/57187/9972/7048/5903/91746",64
"GO:0050657","nucleic acid transport","63/2347","165/18805",0.381818181818182,3.05926327613588,10.0328433127879,3.41047630757887e-17,3.3462456704528e-14,2.91805139509862e-14,"23089/10644/10642/10643/57510/6311/8658/23293/7514/8087/65110/5901/9804/3181/6741/84321/11052/3837/9793/57097/9984/7175/10128/55051/6432/26019/65109/7979/6396/23279/23225/6428/65125/55746/25909/29072/8106/56943/8021/8888/23165/64901/9631/57122/1660/23049/3178/9688/4927/23144/55421/55795/22794/1977/53371/4904/155435/26993/57187/9972/7048/5903/91746",63
"GO:0050658","RNA transport","63/2347","165/18805",0.381818181818182,3.05926327613588,10.0328433127879,3.41047630757887e-17,3.3462456704528e-14,2.91805139509862e-14,"23089/10644/10642/10643/57510/6311/8658/23293/7514/8087/65110/5901/9804/3181/6741/84321/11052/3837/9793/57097/9984/7175/10128/55051/6432/26019/65109/7979/6396/23279/23225/6428/65125/55746/25909/29072/8106/56943/8021/8888/23165/64901/9631/57122/1660/23049/3178/9688/4927/23144/55421/55795/22794/1977/53371/4904/155435/26993/57187/9972/7048/5903/91746",63
"GO:0006913","nucleocytoplasmic transport","98/2347","340/18805",0.288235294117647,2.30944384571042,9.20120736605787,4.27212452638729e-16,2.95972810163318e-13,2.58099361691953e-13,"3320/57510/5784/23293/7514/1434/6209/51319/55705/4869/3841/23039/5901/51366/948/1386/8125/3181/6741/2033/5501/26263/84321/9349/11142/11052/4775/51684/3837/57506/51496/9984/7175/55051/26019/7341/7979/6396/2932/55437/23279/23225/84268/6428/4659/65125/5469/7531/999/55746/25909/29072/8106/7040/56943/8021/8888/7329/10541/5310/23165/1994/64901/11331/9631/57122/1660/3839/4000/55122/23049/80208/3178/10892/9688/4927/6789/55421/55795/22794/1977/8720/55198/9147/53371/155435/26993/754/1432/57187/11315/9972/5494/64328/5903/23325/91746/103",98
"GO:0051169","nuclear transport","98/2347","340/18805",0.288235294117647,2.30944384571042,9.20120736605787,4.27212452638729e-16,2.95972810163318e-13,2.58099361691953e-13,"3320/57510/5784/23293/7514/1434/6209/51319/55705/4869/3841/23039/5901/51366/948/1386/8125/3181/6741/2033/5501/26263/84321/9349/11142/11052/4775/51684/3837/57506/51496/9984/7175/55051/26019/7341/7979/6396/2932/55437/23279/23225/84268/6428/4659/65125/5469/7531/999/55746/25909/29072/8106/7040/56943/8021/8888/7329/10541/5310/23165/1994/64901/11331/9631/57122/1660/3839/4000/55122/23049/80208/3178/10892/9688/4927/6789/55421/55795/22794/1977/8720/55198/9147/53371/155435/26993/754/1432/57187/11315/9972/5494/64328/5903/23325/91746/103",98
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","122/2347","467/18805",0.261241970021413,2.09316371804545,9.03359887194072,4.52480939607586e-16,2.95972810163318e-13,2.58099361691953e-13,"131405/55626/165324/90025/1457/153769/151230/3326/3093/5071/339745/80204/7514/222235/84937/6135/84961/26235/10399/1050/8924/51366/11059/83737/79791/79718/6907/9491/64326/23008/81790/84861/26263/64682/1499/23588/26133/10277/387921/9575/11011/80196/10513/130507/10213/2768/51433/7341/7979/11146/26043/2932/5710/6478/26259/5688/11060/10206/5713/8554/8405/10444/54476/150684/8945/7337/5693/5682/119504/22836/51434/5689/9097/54813/9655/6468/115290/81545/64750/1642/8452/51377/8667/7415/9320/10075/4780/10393/55122/6599/64839/80232/996/324/23197/10973/4534/197131/5707/9147/51322/9683/2272/10616/51105/57092/6872/5887/7334/55743/11315/7328/8065/1161/26268/26234/5684/9325/7874/23304/8454/7326",122
"GO:0015931","nucleobase-containing compound transport","76/2347","240/18805",0.316666666666667,2.53724612981111,9.05096091495145,3.68156045736288e-15,2.16733464124952e-12,1.88999687900618e-12,"23089/10644/10642/368/10643/57510/6311/8658/23293/7514/8087/65110/55186/5901/9804/3181/6741/84321/284439/11052/10057/3837/9793/55508/57097/9984/7175/293/10128/55051/6432/26019/65109/7979/6396/51006/23279/23225/6428/65125/55746/25909/29072/8106/56943/8021/85019/8888/23165/64901/9631/57122/1660/23049/3178/9688/4927/23144/55421/55795/57724/22794/1977/53371/84275/4904/155435/26993/57187/23169/9972/7048/292/11046/5903/91746",76
